loan_id,gender_male,married_yes,dependents_1.0,dependents_2.0,dependents_3.0,self_employed_yes,credit_history_1.0,loan_amount,loan_amount_term,applicant_income,coapplicant_income,loan_status,total_income,EMI,balance_income
LP001273,1,1,0,0,0,0,1,265000000.0,360,6000,2250.0,0,8250.0,736.1,7513.9
LP001275,1,1,1,0,0,0,1,50000000.0,240,3988,0.0,1,3988.0,208.3,3779.7
LP001279,1,0,0,0,0,0,1,136000000.0,360,2366,2531.0,1,4897.0,377.8,4519.2
LP001280,1,1,0,1,0,0,1,99000000.0,360,3333,2000.0,1,5333.0,275.0,5058.0
LP001282,1,1,0,0,0,0,1,104000000.0,360,2500,2118.0,1,4618.0,288.9,4329.1
LP001289,1,0,0,0,0,0,1,210000000.0,360,8566,0.0,1,8566.0,583.3,7982.7
LP001310,1,1,0,0,0,0,1,175000000.0,360,5695,4167.0,1,9862.0,486.1,9375.9
LP001316,1,1,0,0,0,0,1,131000000.0,360,2958,2900.0,1,5858.0,363.9,5494.1
LP001318,1,1,0,1,0,0,1,188000000.0,180,6250,5654.0,1,11904.0,1044.4,10859.6
LP001319,1,1,0,1,0,0,1,81000000.0,360,3273,1820.0,1,5093.0,225.0,4868.0
LP001322,1,0,0,0,0,0,1,122000000.0,360,4133,0.0,1,4133.0,338.9,3794.1
LP001325,1,0,0,0,0,0,1,25000000.0,120,3620,0.0,1,3620.0,208.3,3411.7
LP001326,1,0,0,0,0,0,1,128000000.0,360,6782,0.0,0,6782.0,355.6,6426.4
LP001327,0,1,0,0,0,0,1,137000000.0,360,2484,2302.0,1,4786.0,380.6,4405.4
LP001333,1,1,0,0,0,0,1,50000000.0,360,1977,997.0,1,2974.0,138.9,2835.1
LP001334,1,1,0,0,0,0,1,115000000.0,180,4188,0.0,1,4188.0,638.9,3549.1
LP001343,1,1,0,0,0,0,1,131000000.0,360,1759,3541.0,1,5300.0,363.9,4936.1
LP001345,1,1,0,1,0,0,1,133000000.0,180,4288,3263.0,1,7551.0,738.9,6812.1
LP001349,1,0,0,0,0,0,1,151000000.0,360,4843,3806.0,1,8649.0,419.4,8229.6
LP001350,1,1,0,0,0,0,1,128000000.0,360,13650,0.0,1,13650.0,355.6,13294.4
LP001356,1,1,0,0,0,0,1,128000000.0,360,4652,3583.0,1,8235.0,355.6,7879.4
LP001357,1,1,0,0,0,0,1,160000000.0,360,3816,754.0,1,4570.0,444.4,4125.6
LP001367,1,1,1,0,0,0,1,100000000.0,360,3052,1030.0,1,4082.0,277.8,3804.2
LP001369,1,1,0,1,0,0,1,225000000.0,360,11417,1126.0,1,12543.0,625.0,11918.0
LP001370,1,0,0,0,0,0,1,120000000.0,360,7333,0.0,0,7333.0,333.3,6999.7
LP001379,1,1,0,1,0,0,0,216000000.0,360,3800,3600.0,0,7400.0,600.0,6800.0
LP001384,1,1,0,0,1,0,1,94000000.0,480,2071,754.0,1,2825.0,195.8,2629.2
LP001385,1,0,0,0,0,0,1,136000000.0,360,5316,0.0,1,5316.0,377.8,4938.2
LP001387,0,1,0,0,0,0,1,139000000.0,360,2929,2333.0,1,5262.0,386.1,4875.9
LP001391,1,1,0,0,0,0,0,152000000.0,360,3572,4114.0,0,7686.0,422.2,7263.8
LP001392,0,0,1,0,0,1,1,128000000.0,360,7451,0.0,1,7451.0,355.6,7095.4
LP001398,1,0,0,0,0,0,1,118000000.0,360,5050,0.0,1,5050.0,327.8,4722.2
LP001401,1,1,1,0,0,0,1,185000000.0,180,14583,0.0,1,14583.0,1027.8,13555.2
LP001404,0,1,0,0,0,0,1,154000000.0,360,3167,2283.0,1,5450.0,427.8,5022.2
LP001405,1,1,1,0,0,0,1,85000000.0,360,2214,1398.0,1,3612.0,236.1,3375.9
LP001421,1,1,0,0,0,0,1,175000000.0,360,5568,2142.0,0,7710.0,486.1,7223.9
LP001422,0,0,0,0,0,0,1,259000000.0,360,10408,0.0,1,10408.0,719.4,9688.6
LP001426,1,1,0,0,0,0,1,180000000.0,360,5667,2667.0,1,8334.0,500.0,7834.0
LP001430,0,0,0,0,0,0,1,44000000.0,360,4166,0.0,1,4166.0,122.2,4043.8
LP001431,0,0,0,0,0,0,0,137000000.0,360,2137,8980.0,1,11117.0,380.6,10736.4
LP001432,1,1,0,1,0,0,1,81000000.0,360,2957,0.0,1,2957.0,225.0,2732.0
LP001439,1,1,0,0,0,0,1,194000000.0,360,4300,2014.0,1,6314.0,538.9,5775.1
LP001443,0,0,0,0,0,0,1,93000000.0,360,3692,0.0,1,3692.0,258.3,3433.7
LP001448,1,1,0,0,1,0,1,370000000.0,360,23803,0.0,1,23803.0,1027.8,22775.2
LP001449,1,0,0,0,0,0,1,128000000.0,360,3865,1640.0,1,5505.0,355.6,5149.4
LP001451,1,1,1,0,0,1,0,160000000.0,180,10513,3850.0,0,14363.0,888.9,13474.1
LP001465,1,1,0,0,0,0,1,182000000.0,360,6080,2569.0,0,8649.0,505.6,8143.4
LP001469,1,0,0,0,0,1,1,650000000.0,480,20166,0.0,1,20166.0,1354.2,18811.8
LP001473,1,0,0,0,0,0,1,74000000.0,360,2014,1929.0,1,3943.0,205.6,3737.4
LP001478,1,0,0,0,0,0,1,70000000.0,360,2718,0.0,1,2718.0,194.4,2523.6
LP001482,1,1,0,0,0,1,1,25000000.0,120,3459,0.0,1,3459.0,208.3,3250.7
LP001487,1,0,0,0,0,0,1,102000000.0,360,4895,0.0,1,4895.0,283.3,4611.7
LP001488,1,1,0,0,1,0,1,290000000.0,360,4000,7750.0,0,11750.0,805.6,10944.4
LP001489,0,1,0,0,0,0,1,84000000.0,360,4583,0.0,0,4583.0,233.3,4349.7
LP001491,1,1,0,1,0,1,1,88000000.0,360,3316,3500.0,1,6816.0,244.4,6571.6
LP001492,1,0,0,0,0,0,0,242000000.0,360,14999,0.0,0,14999.0,672.2,14326.8
LP001493,1,1,0,1,0,0,1,129000000.0,360,4200,1430.0,0,5630.0,358.3,5271.7
LP001497,1,1,0,1,0,0,1,185000000.0,360,5042,2083.0,0,7125.0,513.9,6611.1
LP001498,1,0,0,0,0,0,1,168000000.0,360,5417,0.0,1,5417.0,466.7,4950.3
LP001504,1,0,0,0,0,1,1,175000000.0,180,6950,0.0,1,6950.0,972.2,5977.8
LP001507,1,1,0,0,0,0,1,122000000.0,360,2698,2034.0,1,4732.0,338.9,4393.1
LP001508,1,1,0,1,0,0,1,187000000.0,180,11757,0.0,1,11757.0,1038.9,10718.1
LP001514,0,1,0,0,0,0,1,100000000.0,360,2330,4486.0,1,6816.0,277.8,6538.2
LP001516,0,1,0,1,0,0,1,70000000.0,360,14866,0.0,1,14866.0,194.4,14671.6
LP001518,1,1,1,0,0,0,1,30000000.0,360,1538,1425.0,1,2963.0,83.3,2879.7
LP001519,0,0,0,0,0,0,1,225000000.0,360,10000,1666.0,0,11666.0,625.0,11041.0
LP001520,1,1,0,0,0,0,1,125000000.0,360,4860,830.0,1,5690.0,347.2,5342.8
LP001528,1,0,0,0,0,0,0,118000000.0,360,6277,0.0,0,6277.0,327.8,5949.2
LP001529,1,1,0,0,0,1,1,152000000.0,360,2577,3750.0,1,6327.0,422.2,5904.8
LP001531,1,0,0,0,0,0,1,244000000.0,360,9166,0.0,0,9166.0,677.8,8488.2
LP001532,1,1,0,1,0,0,1,113000000.0,360,2281,0.0,0,2281.0,313.9,1967.1
LP001535,1,0,0,0,0,0,1,50000000.0,360,3254,0.0,1,3254.0,138.9,3115.1
LP001536,1,1,0,0,1,0,0,600000000.0,180,39999,0.0,1,39999.0,3333.3,36665.7
LP001541,1,1,1,0,0,0,1,160000000.0,360,6000,0.0,1,6000.0,444.4,5555.6
LP001543,1,1,1,0,0,0,1,187000000.0,360,9538,0.0,1,9538.0,519.4,9018.6
LP001546,1,0,0,0,0,0,1,120000000.0,360,2980,2083.0,1,5063.0,333.3,4729.7
LP001552,1,1,0,0,0,0,1,255000000.0,360,4583,5625.0,1,10208.0,708.3,9499.7
LP001560,1,1,0,0,0,0,1,98000000.0,360,1863,1041.0,1,2904.0,272.2,2631.8
LP001562,1,1,0,0,0,0,1,275000000.0,360,7933,0.0,0,7933.0,763.9,7169.1
LP001565,1,1,1,0,0,0,0,121000000.0,360,3089,1280.0,0,4369.0,336.1,4032.9
LP001570,1,1,0,1,0,0,1,158000000.0,360,4167,1447.0,1,5614.0,438.9,5175.1
LP001572,1,1,0,0,0,0,1,75000000.0,180,9323,0.0,1,9323.0,416.7,8906.3
LP001574,1,1,0,0,0,0,1,182000000.0,360,3707,3166.0,1,6873.0,505.6,6367.4
LP001577,0,1,0,0,0,0,1,112000000.0,360,4583,0.0,0,4583.0,311.1,4271.9
LP001578,1,1,0,0,0,0,1,129000000.0,360,2439,3333.0,1,5772.0,358.3,5413.7
LP001579,1,0,0,0,0,0,0,63000000.0,480,2237,0.0,0,2237.0,131.2,2105.8
LP001580,1,1,0,1,0,0,1,200000000.0,360,8000,0.0,1,8000.0,555.6,7444.4
LP001581,1,1,0,0,0,0,1,95000000.0,360,1820,1769.0,1,3589.0,263.9,3325.1
LP001585,1,1,0,0,1,0,1,700000000.0,300,51763,0.0,1,51763.0,2333.3,49429.7
LP001586,1,1,0,0,1,0,1,81000000.0,180,3522,0.0,0,3522.0,450.0,3072.0
LP001594,1,1,0,0,0,0,1,187000000.0,360,5708,5625.0,1,11333.0,519.4,10813.6
LP001603,1,1,0,0,0,1,1,87000000.0,360,4344,736.0,0,5080.0,241.7,4838.3
LP001606,1,1,0,0,0,0,1,116000000.0,360,3497,1964.0,1,5461.0,322.2,5138.8
LP001608,1,1,0,1,0,0,1,101000000.0,360,2045,1619.0,1,3664.0,280.6,3383.4
LP001610,1,1,0,0,1,0,0,495000000.0,360,5516,11300.0,0,16816.0,1375.0,15441.0
LP001616,1,1,1,0,0,0,1,116000000.0,360,3750,0.0,1,3750.0,322.2,3427.8
LP001630,1,0,0,0,0,0,0,102000000.0,480,2333,1451.0,0,3784.0,212.5,3571.5
LP001633,1,1,1,0,0,0,0,180000000.0,360,6400,7250.0,0,13650.0,500.0,13150.0
LP001634,1,0,0,0,0,0,1,67000000.0,360,1916,5063.0,0,6979.0,186.1,6792.9
LP001636,1,1,0,0,0,0,1,73000000.0,180,4600,0.0,1,4600.0,405.6,4194.4
LP001637,1,1,1,0,0,0,1,260000000.0,360,33846,0.0,0,33846.0,722.2,33123.8
LP001639,0,1,0,0,0,0,1,108000000.0,360,3625,0.0,1,3625.0,300.0,3325.0
LP001640,1,1,0,0,0,1,1,120000000.0,360,39147,4750.0,1,43897.0,333.3,43563.7
LP001641,1,1,1,0,0,1,0,66000000.0,300,2178,0.0,0,2178.0,220.0,1958.0
LP001643,1,1,0,0,0,0,1,58000000.0,360,2383,2138.0,1,4521.0,161.1,4359.9
LP001644,1,1,0,0,0,1,1,168000000.0,360,674,5296.0,1,5970.0,466.7,5503.3
LP001647,1,1,0,0,0,0,1,188000000.0,180,9328,0.0,1,9328.0,1044.4,8283.6
LP001653,1,0,0,0,0,0,1,48000000.0,360,4885,0.0,1,4885.0,133.3,4751.7
LP001656,1,0,0,0,0,0,1,164000000.0,360,12000,0.0,0,12000.0,455.6,11544.4
LP001657,1,1,0,0,0,0,1,160000000.0,360,6033,0.0,0,6033.0,444.4,5588.6
LP001658,1,0,0,0,0,0,1,76000000.0,360,3858,0.0,1,3858.0,211.1,3646.9
LP001664,1,0,0,0,0,0,1,120000000.0,360,4191,0.0,1,4191.0,333.3,3857.7
LP001665,1,1,1,0,0,0,1,170000000.0,360,3125,2583.0,0,5708.0,472.2,5235.8
LP001666,1,0,0,0,0,0,1,187000000.0,360,8333,3750.0,1,12083.0,519.4,11563.6
LP001669,0,0,0,0,0,0,1,120000000.0,360,1907,2365.0,1,4272.0,333.3,3938.7
LP001671,0,1,0,0,0,0,1,113000000.0,360,3416,2816.0,1,6232.0,313.9,5918.1
LP001673,1,0,0,0,0,1,1,83000000.0,360,11000,0.0,0,11000.0,230.6,10769.4
LP001674,1,1,1,0,0,0,1,90000000.0,360,2600,2500.0,1,5100.0,250.0,4850.0
LP001677,1,0,0,1,0,0,0,166000000.0,360,4923,0.0,1,4923.0,461.1,4461.9
LP001682,1,1,0,0,1,0,1,128000000.0,180,3992,0.0,0,3992.0,711.1,3280.9
LP001688,1,1,1,0,0,0,1,135000000.0,360,3500,1083.0,1,4583.0,375.0,4208.0
LP001691,1,1,0,1,0,0,1,124000000.0,360,3917,0.0,1,3917.0,344.4,3572.6
LP001692,0,0,0,0,0,0,1,120000000.0,360,4408,0.0,1,4408.0,333.3,4074.7
LP001693,0,0,0,0,0,0,1,80000000.0,360,3244,0.0,1,3244.0,222.2,3021.8
LP001698,1,0,0,0,0,0,1,55000000.0,360,3975,2531.0,1,6506.0,152.8,6353.2
LP001699,1,0,0,0,0,0,1,59000000.0,360,2479,0.0,1,2479.0,163.9,2315.1
LP001702,1,0,0,0,0,0,1,127000000.0,360,3418,0.0,0,3418.0,352.8,3065.2
LP001708,0,0,0,0,0,0,1,214000000.0,360,10000,0.0,0,10000.0,594.4,9405.6
LP001711,1,1,0,0,1,0,0,128000000.0,360,3430,1250.0,0,4680.0,355.6,4324.4
LP001713,1,1,1,0,0,1,1,240000000.0,360,7787,0.0,1,7787.0,666.7,7120.3
LP001715,1,1,0,0,1,1,1,130000000.0,360,5703,0.0,1,5703.0,361.1,5341.9
LP001716,1,1,0,0,0,0,1,137000000.0,360,3173,3021.0,1,6194.0,380.6,5813.4
LP001720,1,1,0,0,1,0,1,100000000.0,360,3850,983.0,1,4833.0,277.8,4555.2
LP001722,1,1,0,0,0,0,1,135000000.0,360,150,1800.0,0,1950.0,375.0,1575.0
LP001726,1,1,0,0,0,0,1,131000000.0,360,3727,1775.0,1,5502.0,363.9,5138.1
LP001732,1,1,0,1,0,0,0,72000000.0,360,5000,0.0,0,5000.0,200.0,4800.0
LP001734,0,1,0,1,0,0,1,127000000.0,360,4283,2383.0,1,6666.0,352.8,6313.2
LP001736,1,1,0,0,0,0,0,60000000.0,360,2221,0.0,0,2221.0,166.7,2054.3
LP001743,1,1,0,1,0,0,1,116000000.0,360,4009,1717.0,1,5726.0,322.2,5403.8
LP001744,1,0,0,0,0,0,1,144000000.0,360,2971,2791.0,1,5762.0,400.0,5362.0
LP001749,1,1,0,0,0,0,1,175000000.0,360,7578,1010.0,1,8588.0,486.1,8101.9
LP001750,1,1,0,0,0,0,1,128000000.0,360,6250,0.0,1,6250.0,355.6,5894.4
LP001751,1,1,0,0,0,0,1,170000000.0,360,3250,0.0,0,3250.0,472.2,2777.8
LP001754,1,1,0,0,0,1,1,138000000.0,360,4735,0.0,0,4735.0,383.3,4351.7
LP001758,1,1,0,1,0,0,1,210000000.0,360,6250,1695.0,1,7945.0,583.3,7361.7
LP001760,1,1,0,0,0,0,1,158000000.0,480,4758,0.0,1,4758.0,329.2,4428.8
LP001761,1,0,0,0,0,1,1,200000000.0,360,6400,0.0,1,6400.0,555.6,5844.4
LP001765,1,1,1,0,0,0,1,104000000.0,360,2491,2054.0,1,4545.0,288.9,4256.1
LP001768,1,1,0,0,0,0,1,42000000.0,180,3716,0.0,1,3716.0,233.3,3482.7
LP001770,1,0,0,0,0,0,1,120000000.0,360,3189,2598.0,1,5787.0,333.3,5453.7
LP001776,0,0,0,0,0,0,1,280000000.0,360,8333,0.0,1,8333.0,777.8,7555.2
LP001778,1,1,1,0,0,0,1,140000000.0,360,3155,1779.0,1,4934.0,388.9,4545.1
LP001784,1,1,1,0,0,0,1,170000000.0,360,5500,1260.0,1,6760.0,472.2,6287.8
LP001786,1,1,0,0,0,0,1,255000000.0,360,5746,0.0,0,5746.0,708.3,5037.7
LP001788,0,0,0,0,0,1,1,122000000.0,360,3463,0.0,1,3463.0,338.9,3124.1
LP001790,0,0,1,0,0,0,1,112000000.0,360,3812,0.0,1,3812.0,311.1,3500.9
LP001792,1,1,1,0,0,0,1,96000000.0,360,3315,0.0,1,3315.0,266.7,3048.3
LP001798,1,1,0,1,0,0,1,120000000.0,360,5819,5000.0,1,10819.0,333.3,10485.7
LP001800,1,1,1,0,0,0,1,140000000.0,180,2510,1983.0,0,4493.0,777.8,3715.2
LP001806,1,0,0,0,0,0,1,155000000.0,60,2965,5701.0,1,8666.0,2583.3,6082.7
LP001807,1,1,0,1,0,1,1,108000000.0,360,6250,1300.0,1,7550.0,300.0,7250.0
LP001811,1,1,0,0,0,0,1,123000000.0,360,3406,4417.0,1,7823.0,341.7,7481.3
LP001813,1,0,0,0,0,1,1,120000000.0,180,6050,4333.0,0,10383.0,666.7,9716.3
LP001814,1,1,0,1,0,0,1,112000000.0,360,9703,0.0,1,9703.0,311.1,9391.9
LP001819,1,1,1,0,0,0,1,137000000.0,180,6608,0.0,1,6608.0,761.1,5846.9
LP001824,1,1,1,0,0,0,1,123000000.0,480,2882,1843.0,1,4725.0,256.2,4468.8
LP001825,1,1,0,0,0,0,1,90000000.0,360,1809,1868.0,1,3677.0,250.0,3427.0
LP001835,1,1,0,0,0,0,0,201000000.0,360,1668,3890.0,0,5558.0,558.3,4999.7
LP001836,0,0,0,1,0,0,1,138000000.0,360,3427,0.0,0,3427.0,383.3,3043.7
LP001841,1,0,0,0,0,1,1,104000000.0,360,2583,2167.0,1,4750.0,288.9,4461.1
LP001843,1,1,1,0,0,0,1,279000000.0,180,2661,7101.0,1,9762.0,1550.0,8212.0
LP001844,1,0,0,0,0,1,0,192000000.0,360,16250,0.0,0,16250.0,533.3,15716.7
LP001846,0,0,0,0,1,0,1,255000000.0,360,3083,0.0,1,3083.0,708.3,2374.7
LP001849,1,0,0,0,0,0,0,115000000.0,360,6045,0.0,0,6045.0,319.4,5725.6
LP001854,1,1,0,0,1,0,1,94000000.0,360,5250,0.0,0,5250.0,261.1,4988.9
LP001859,1,1,0,0,0,0,1,304000000.0,360,14683,2100.0,0,16783.0,844.4,15938.6
LP001864,1,1,0,0,1,0,1,128000000.0,360,4931,0.0,0,4931.0,355.6,4575.4
LP001865,1,1,1,0,0,0,1,330000000.0,360,6083,4250.0,1,10333.0,916.7,9416.3
LP001868,1,0,0,0,0,0,1,134000000.0,360,2060,2209.0,1,4269.0,372.2,3896.8
LP001870,0,0,1,0,0,0,1,155000000.0,36,3481,0.0,0,3481.0,4305.6,-824.6000000000004
LP001871,0,0,0,0,0,0,1,120000000.0,360,7200,0.0,1,7200.0,333.3,6866.7
LP001872,1,0,0,0,0,1,1,128000000.0,360,5166,0.0,1,5166.0,355.6,4810.4
LP001875,1,0,0,0,0,0,1,151000000.0,360,4095,3447.0,1,7542.0,419.4,7122.6
LP001877,1,1,0,1,0,0,1,150000000.0,360,4708,1387.0,1,6095.0,416.7,5678.3
LP001882,1,1,0,0,1,0,0,160000000.0,360,4333,1811.0,1,6144.0,444.4,5699.6
LP001883,0,0,0,0,0,0,1,135000000.0,360,3418,0.0,0,3418.0,375.0,3043.0
LP001884,0,0,1,0,0,0,1,90000000.0,360,2876,1560.0,1,4436.0,250.0,4186.0
LP001888,0,0,0,0,0,0,1,30000000.0,360,3237,0.0,1,3237.0,83.3,3153.7
LP001891,1,1,0,0,0,0,1,136000000.0,360,11146,0.0,1,11146.0,377.8,10768.2
